"Job Title","Date","float_Billable_Hours","Capacity"
"Software Developer  -  Business Applications (DDS)",2020-01-11,0,32
"Software Engineer  -  Business Applications (DDS)",2020-01-11,0,24
"Sr. Consultant  -  Business Applications (DDS)",2020-01-11,0,8
"Sr. Consultant  -  Business Intelligence (DDS)",2020-01-11,0,8
"Sr. Consultant  -  Data & Development Services (DDS) - Solution Delivery",2020-01-11,0,16
"Sr. Consultant  -  Data Architecture (DDS)",2020-01-11,0,8
"Sr. Data Engineer  -  Data Architecture (DDS)",2020-01-11,0,8
"Sr. Data Scientist  -  Data Science (DDS)",2020-01-11,0,24
"Sr. Software Architect  -  Business Applications (DDS)",2020-01-11,0,16
"Sr. Software Developer  -  Business Applications (DDS)",2020-01-11,0,8
"Sr. Software Engineer  -  Business Applications (DDS)",2020-01-11,0,24
"Tableau Developer  -  Business Intelligence (DDS)",2020-01-11,0,8
"Technical Delivery Lead  -  Data & Development Services (DDS) - Solution Delivery",2020-01-11,0,8
"Technical Delivery Manager  -  Data & Development Services (DDS) - Solution Delivery",2020-01-11,0,8
"Technical Writer  -  Business Applications (DDS)",2020-01-11,0,8
"Web Developer  -  Business Applications (DDS)",2020-01-11,0,16
"Associate BI Consultant  -  Business Intelligence (DDS)",2020-01-12,0,16
